Alert No,Timeframe,NE Type,Alarm Category
ON218,last 15 mins(PA alert),LTE,LTESite
ON219,Lastest hour,LTE,LTECell
ON246,second 15 mins,3GCELL,RAN
ON247,second 15 mins,3GCELL,RAN
ON248,second 15 mins,3GCELL,RAN
ON249,latest 2 15 mins,3GCELL,RAN
ON250,latest 2 15 mins,3GCELL,RAN
ON251,latest 2 15 mins,NODEB,RAN
ON252,latest 2 15 mins,UDG,5G NSA
ON253,second 15 mins,UGW,5G NSA
ON254,last hour,UDG,5G NSA
ON255,last hour,UDG,5G NSA
ON260,second 15 mins,UDG,5GNSA
ON261,second 15 mins,UDG,5G NSA
ON262,Latest Hour,UGW,5G NSA
ON263,Latest 2 15 mins,UGW,5G NSA
ON264,Latest Hour,APN,5G NSA
ON300,last 15 mins(PA alert),USN,5G NSA
ON301,last 15 mins(PA alert),USN,5G NSA
ON400,last hour(hourly alert),USN,5G NSA
ON401,last hour(hourly alert),USN,5G NSA
ON402,last hour(hourly alert),USN,5G NSA
ON403,last hour(hourly alert),,5G NSA
ON404,last hour(hourly alert),,5G NSA
ON405,last hour(hourly alert),,5G NSA
ON406,last hour(hourly alert),UGW,5G NSA
ON500,last hour(hourly alert),UGW,5G NSA
ON501,last 15 mins(PA alert),UGW,5G NSA
ON502,last 15 mins(PA alert),UGW,5G NSA
ON503,last 15 mins(PA alert),,
ON504,last 15 mins(PA alert),,
ON505,last 15 mins(PA alert),,
ON506,last 15 mins(PA alert),SPS,CS Core
ON507,last 15 mins(PA alert),SPS,CS Core
ON508,last 15 mins(PA alert),SPS,CS Core
ON509,last 15 mins(PA alert),SPS,CS Core
ON510,last 15 mins(PA alert),SPS,CS Core
ON511,last 15 mins(PA alert),SPS,CS Core
ON512,lastest hour,SPS,CS Core
ON531,Yesterday,SPS,CS Core
ON532,last 15 mins(PA alert),SPS,CS Core
ON534,last 15 mins(PA alert),SPS,CS Core
ON600,last 15 mins(PA alert),SPS,CS Core
ON601,last 15 mins(PA alert),SPS,CS Core
ON602,last 15 mins(PA alert),SPS,CS Core
ON603,last 15 mins(PA alert),SPS,CS Core
ON604,last 15 mins(PA alert),SPS,CS Core
ON605,last 15 mins(PA alert),SPS,CS Core
ON606,last 15 mins(PA alert),SPS,CS Core
ON607,last 15 mins(PA alert),SPS,CS Core
ON608,last 15 mins(PA alert),DNS,CS Core
ON609,last 15 mins(PA alert),DNS,CS Core
ON612,last 15 mins(PA alert),IMS,CS Core
ON613,last 15 mins(PA alert),IMS,CS Core
ON614,last 15 mins(PA alert),IMS,CS Core
ON615,last 15 mins(PA alert),IMS,CS Core
ON616,last 15 mins(PA alert),IMS,CS Core
ON700,last 15 mins(PA alert),IMS,CS Core
ON701,last 15 mins(PA alert),IMS,CS Core
ON702,last 15 mins(PA alert),IMS,CS Core
ON703,last 15 mins(PA alert),IMS,CS Core
ON704,last 15 mins(PA alert),IMS,CS Core
ON705,last 15 mins(PA alert),IMS,CS Core
ON706,last 15 mins(PA alert),IMS,CS Core
ON707,last 15 mins(PA alert),SBC,SBC
ON708,last 15 mins(PA alert),HSS,CS Core
ON709,latest hour,eMSC,CS Core
ON710,last 15 mins(PA alert),HSS,CS Core
ON711,last 15 mins(PA alert),HSS,CS Core
ON712,last 15 mins(PA alert),HSS,CS Core
ON713,last 15 mins(PA alert),HSS,CS Core
ON714,last 15 mins(PA alert),HSS,CS Core
ON715,last 15 mins(PA alert),HSS,CS Core
ON716,last 15 mins(PA alert),HSS,CS Core
ON717,last 15 mins(PA alert),HSS,CS Core
ON718,last 15 mins(PA alert),HSS,CS Core
ON719,last 15 mins(PA alert),HSS,CS Core
ON720,last 15 mins(PA alert),HSS,CS Core
ON721,last 15 mins(PA alert),HSS,CS Core
